country,longitude,lattitude,education_expenditures,purchasing_power_parity,unemployment_rate,distribution_of_family_income,literacy_rate,year
Saint Vincent And The Grenadines,-61.2,13.25,5.8,1265000000.0,18.8,,,2018
Samoa,-172.333333333333,-13.5833333333333,4.1,1137000000.0,5.2,,99.0,2018
San Marino,12.4166666666667,43.7666666666667,2.4,2064000000.0,8.1,,,2018
Sao Tome And Principe,7.0,1.0,3.7,686000000.0,12.2,30.8,74.9,2018
Saudi Arabia,45.0,25.0,5.1,1775000000000.0,6.0,45.9,94.7,2018
Senegal,-14.0,14.0,7.1,54800000000.0,48.0,40.3,57.7,2018
Serbia,21.0,44.0,4.0,105700000000.0,14.1,38.7,98.8,2018
Seychelles,55.6666666666667,-4.58333333333333,3.6,2750000000.0,3.0,46.8,91.8,2018
Sierra Leone,-11.5,8.5,2.9,11550000000.0,15.0,34.0,48.1,2018
Singapore,103.8,1.36666666666667,2.9,528100000000.0,2.2,45.9,97.0,2018
Sint Maarten,-63.0666666666667,18.0666666666667,,365800000.0,12.0,,,2018
Slovakia,19.5,48.6666666666667,4.6,179700000000.0,8.1,23.7,,2018
Slovenia,14.8166666666667,46.1166666666667,5.3,71230000000.0,6.6,24.4,99.7,2018
Solomon Islands,159.0,-8.0,10.0,1330000000.0,,,84.1,2018
Somalia,49.0,10.0,,20440000000.0,,,,2018
South Africa,24.0,-29.0,5.9,767200000000.0,27.5,62.5,94.4,2018
South Georgia And South Sandwich Islands,-37.0,-54.5,,,,,,2018
South Sudan,30.0,8.0,1.8,20010000000.0,,46.0,27.0,2018
Spain,-4.0,40.0,4.3,1778000000000.0,17.2,35.9,98.3,2018
Spratly Islands,111.916666666667,8.63333333333333,,,,,,2018
Sri Lanka,81.0,7.0,3.5,275800000000.0,4.4,39.2,92.6,2018
Sudan,30.0,15.0,2.2,177400000000.0,19.6,,75.9,2018
Suriname,-56.0,4.0,,8688000000.0,8.9,,95.6,2018
Svalbard,20.0,78.0,,,,,,2018
Sweden,15.0,62.0,7.7,518000000000.0,6.7,24.9,,2018
Switzerland,8.0,47.0,5.1,523100000000.0,3.2,29.5,,2018
Syria,38.0,35.0,5.1,50280000000.0,50.0,,86.4,2018
Taiwan,121.0,23.5,,1189000000000.0,3.8,33.6,98.5,2018
Tajikistan,71.0,39.0,5.2,28430000000.0,2.4,32.6,99.8,2018
Tanzania,35.0,-6.0,3.5,162500000000.0,10.3,37.6,77.9,2018
Thailand,100.0,15.0,4.1,1236000000000.0,0.7,44.5,92.9,2018
Timor-Leste,125.916666666667,-8.83333333333333,7.5,7426000000.0,4.4,31.9,67.5,2018
Togo,1.16666666666667,8.0,5.1,12970000000.0,6.9,46.0,63.7,2018
Tokelau,-172.0,-9.0,,1500000.0,,,,2018
Tonga,-175.0,-20.0,,591000000.0,1.1,,99.4,2018
Trinidad And Tobago,-61.0,11.0,,42850000000.0,4.9,,99.0,2018
Tunisia,9.0,34.0,6.6,137700000000.0,15.5,40.0,81.8,2018
Turkey,35.0,39.0,4.4,2186000000000.0,10.9,40.2,95.6,2018
Turkmenistan,60.0,40.0,3.0,103700000000.0,11.0,40.8,99.7,2018
Turks And Caicos Islands,-71.5833333333333,21.75,3.3,632000000.0,10.0,,,2018
Tuvalu,178.0,-8.0,,42000000.0,,,,2018
Uganda,32.0,1.0,2.3,89190000000.0,9.4,39.5,78.4,2018
Ukraine,32.0,49.0,5.9,369600000000.0,9.2,25.5,99.8,2018
United Arab Emirates,54.0,24.0,,696000000000.0,1.6,,93.8,2018
United Kingdom,-2.0,54.0,5.6,2925000000000.0,4.4,32.4,,2018
United States,-97.0,38.0,5.0,19490000000000.0,4.4,45.0,,2018
Uruguay,-56.0,-33.0,4.4,78160000000.0,7.6,41.6,98.5,2018
Uzbekistan,64.0,41.0,,223000000000.0,5.0,36.8,100.0,2018
Vanuatu,167.0,-16.0,5.5,772000000.0,1.7,,85.2,2018
Venezuela,-66.0,8.0,6.9,381600000000.0,27.1,39.0,97.1,2018
Vietnam,107.833333333333,16.1666666666667,5.7,648700000000.0,2.2,34.8,94.5,2018
Virgin Islands,-64.8333333333333,18.3333333333333,,3872000000.0,10.4,,,2018
Wake Island,166.65,19.2833333333333,,,,,,2018
Wallis And Futuna,-176.2,-13.3,,60000000.0,8.8,,,2018
West Bank,35.25,32.0,5.7,21220000000.0,27.9,34.5,96.9,2018
Western Sahara,-13.0,24.5,,906500000.0,,,,2018
Yemen,48.0,15.0,4.6,73630000000.0,27.0,37.9,70.1,2018
Zambia,30.0,-15.0,1.1,68930000000.0,15.0,57.5,63.4,2018
Zimbabwe,30.0,-20.0,8.4,34270000000.0,11.3,43.2,86.5,2018
