geojson_country,education_expenditures,purchasing_power_parity,literacy_rate,distribution_of_family_income,unemployment_rate
Ivory Coast,4.616666667,55557692308,48.55384615,42.45384615,25.15
Jamaica,5.775,23565384615,88.06923077,43.88461538,12.9
Jan Mayen,,,,,
Japan,3.65,4.68323E+12,99,37.86923077,3.923076923
Jersey,,5273846154,,0.3,2.461538462
Jordan,4.44,53799230769,93.14615385,39.56153846,14.04615385
Kazakhstan,2.866666667,2.93708E+11,99.64615385,28.56923077,5.738461538
Kenya,6.341666667,98154615385,82.9,43.73076923,40
Kiribati,15.4,413953846.2,,,13
Kosovo,4.3,13224166667,91.9,28.86666667,35.675
Kuwait,3.8,1.95882E+11,94.43076923,,2.238461538
Kyrgyzstan,6.091666667,15776153846,99.08461538,32.44615385,11.80769231
Laos,2.925,26456153846,74.98461538,36.05384615,1.892307692
Latvia,5.041666667,42143846154,99.8,35.58461538,10.75384615
Lebanon,2.308333333,64368461538,90.23846154,,12.96666667
Lesotho,12.16666667,4753000000,83.83076923,63.2,35.42307692
Liberia,2.87,3127615385,54.45384615,32,66.03076923
Libya,2.7,73537692308,87.4,,30
Liechtenstein,2.3,3681076923,100,,2.123076923
Lithuania,4.875,70492307692,99.7,36.36923077,9.930769231
Luxembourg,3.75,46998461538,100,27.83333333,5.630769231
Macao S.A.R,2.516666667,39860769231,93.91538462,35,2.530769231
Macedonia,3.5,23030000000,96.98333333,40.11666667,30.09166667
Madagascar,2.7,26643076923,66.26923077,46,2.58
Malawi,5.133333333,15356307692,65.83076923,40.63846154,20.4
Malaysia,5.216666667,5.89792E+11,91.64615385,46.16923077,3.284615385
Maldives,7.183333333,3841692308,97.2,37.9,13.98181818
Mali,4.233333333,24191538462,38.96923077,40.1,23.73076923
Malta,6.308333333,12843615385,93.35384615,27.2,5.946153846
Marshall Islands,12.04285714,204753846.2,94.95454545,,35.21538462
Mauritania,3.483333333,10732307692,53.20769231,38.53846154,24.16153846
Mauritius,4.05,20970000000,88.3,37.65384615,7.846153846
Mayotte,,953600000,,,25.4
Mexico,5.15,1.84677E+12,91.72307692,48.79230769,4.369230769
Moldova,8.025,14640153846,99.15384615,32.43846154,4.876923077
Monaco,2.066666667,4531423077,99,,0.923076923
Mongolia,5.108333333,21331769231,97.93846154,34.97692308,7.015384615
Montenegro,,7965538462,98.6125,27.94166667,17.11538462
Montserrat,4.27,57113846.15,97,,5.938461538
Morocco,5.55,2.03154E+11,61.1,40.69230769,9.369230769
Mozambique,5.5,27716153846,53.73076923,46.12307692,20.41538462
Myanmar,0.95,1.64507E+11,87.52307692,,5.238461538
Namibia,7.225,18985384615,84.68461538,64.77692308,30.76923077
Nauru,,89369230.77,,,64.23076923
Navassa Island,,,,,
Nepal,4.258333333,50746923077,56.73846154,39.44615385,35.48461538
