,country,map_references,lattitude,longitude,education_expenditures,purchasing_power_parity,per_capita_purchasing_power_parity,literacy_rate,distribution_of_family_income,unemployment_rate,povery_rate,household_income_lowest_ten_percent,household_income_highest_ten_percent
149,"Micronesia, Federated States Of",Oceania,6.916666666666667,158.25,12.5,348000000,3400,,61.1,16.2,26.7,,
150,Moldova,Europe,47.0,29.0,6.7,23720000000,6700,99.4,26.8,4.1,9.6,4.2,22.1
151,Monaco,Europe,43.733333333333334,7.4,1.4,7672000000,115700,,,2.0,,,
152,Mongolia,Asia,46.0,105.0,4.1,39730000000,13000,98.4,34.0,8.0,29.6,13.7,5.7
153,Montenegro,Europe,42.5,19.3,,11080000000,17800,98.7,31.9,16.1,8.6,3.5,25.7
154,Montserrat,Central America and the Caribbean,16.75,-62.2,5.1,167400000,34000,,,5.6,,,
155,Morocco,Africa,32.0,-5.0,5.3,298600000000,8600,68.5,40.9,10.2,15.0,2.7,33.2
156,Mozambique,Africa,-18.25,35.0,6.5,37090000000,1300,56.0,45.6,24.5,46.1,1.9,36.7
157,Namibia,Africa,-22.0,17.0,3.1,26600000000,11200,81.9,59.7,34.0,28.7,2.4,42
158,Nauru,Oceania,-0.5333333333333333,166.91666666666666,,160000000,12300,,,23.0,,,
159,Navassa Island,Central America and the Caribbean,18.416666666666668,-75.03333333333333,,,,,,,,,
160,Nepal,Asia,28.0,84.0,5.1,79190000000,2700,63.9,32.8,3.0,25.2,3.2,29.5
161,Netherlands,Europe,52.5,5.75,5.4,924400000000,53900,,30.3,4.9,8.8,2.3,24.9
162,New Caledonia,Oceania,-21.5,165.5,,11110000000,31100,96.9,,14.7,17.0,,
163,New Zealand,Oceania,-41.0,174.0,6.3,189000000000,39000,,36.2,4.7,,,
164,Nicaragua,Central America and the Caribbean,13.0,-85.0,4.3,36400000000,5900,82.8,47.1,6.4,29.6,1.8,47.1
165,Niger,Africa,16.0,8.0,3.5,21860000000,1200,19.1,34.0,0.3,45.4,3.2,26.8
166,Nigeria,Africa,10.0,8.0,,1121000000000,5900,59.6,48.8,16.5,70.0,1.8,38.2
167,Niue,Oceania,-19.033333333333335,-169.86666666666667,,10010000,5800,,,12.0,,,
168,Norfolk Island,Oceania,-29.033333333333335,167.95,,,,,,,,,
169,North Macedonia,Europe,41.833333333333336,22.0,,31030000000,14900,97.8,33.7,22.4,21.5,1.7,25
170,Northern Mariana Islands,Oceania,15.2,145.75,,1242000000,24500,,,11.2,,,
171,Norway,Europe,62.0,10.0,7.6,381200000000,72100,,26.8,4.2,,3.8,21.2
172,Oman,Middle East,21.0,57.0,6.7,190100000000,46000,96.1,,,,,
173,Pacific Ocean,Political Map of the World,0.0,-160.0,,,,,,,,,
174,Pakistan,Asia,30.0,70.0,2.8,1061000000000,5400,57.9,30.7,6.0,29.5,4.0,26.1
175,Palau,Oceania,7.5,134.5,,264000000,14700,96.6,,1.7,24.9,,
176,Panama,Central America and the Caribbean,9.0,-80.0,3.2,104100000000,25400,95.0,50.7,6.0,23.0,1.1,38.9
177,Papua New Guinea,Oceania,-6.0,147.0,,30190000000,3700,64.2,50.9,2.5,37.0,1.7,40.5
178,Paracel Islands,Southeast Asia,16.5,112.0,,,,,,,,,
179,Paraguay,South America,-23.0,-58.0,4.5,88910000000,12800,94.7,51.7,5.7,22.2,1.5,37.6
180,Peru,South America,-10.0,-76.0,3.9,430300000000,13500,94.2,45.3,6.9,22.7,1.4,36.1
181,Philippines,Southeast Asia,13.0,122.0,2.7,877200000000,8400,96.3,44.4,5.7,21.6,3.2,29.5
182,Pitcairn Islands,Oceania,-25.066666666666666,-130.1,,,,,,,,,
183,Poland,Europe,52.0,20.0,4.8,1126000000000,29600,99.8,30.8,4.9,17.6,3.0,23.9
184,Portugal,Europe,39.5,-8.0,4.9,314100000000,30500,95.7,33.9,8.9,19.0,2.6,25.9
185,Puerto Rico,Central America and the Caribbean,18.25,-66.5,6.1,130000000000,39400,93.3,,10.8,,,
186,Qatar,Middle East,25.5,51.25,2.9,339500000000,124100,97.3,41.1,8.9,,1.3,35.9
187,Romania,Europe,46.0,25.0,3.1,483400000000,24600,98.8,27.3,4.9,22.4,15.3,7.6
188,Russia,Asia,60.0,100.0,3.8,4016000000000,27900,99.7,41.2,5.2,13.3,2.3,32.2
189,Rwanda,Africa,-2.0,30.0,3.2,24680000000,2100,70.5,50.4,2.7,39.1,2.1,43.2
190,Saint Barthelemy,Central America and the Caribbean,18.5,-63.416666666666664,,,,,,,,,
191,Saint Kitts And Nevis,Central America and the Caribbean,17.333333333333332,-62.75,2.8,1550000000,28200,,,4.5,,,
192,Saint Lucia,Central America and the Caribbean,13.883333333333333,-60.96666666666667,5.7,2542000000,14400,,,20.0,,,
193,Saint Martin,Central America and the Caribbean,18.083333333333332,-63.95,,561500000,19300,,,,,,
194,Saint Pierre And Miquelon,North America,46.833333333333336,-56.333333333333336,,261300000,46200,,,8.7,,,
195,Saint Vincent And The Grenadines,Central America and the Caribbean,13.25,-61.2,5.8,1265000000,11500,,,18.8,,,
196,Samoa,Oceania,-13.583333333333334,-172.33333333333334,4.1,1137000000,5700,99.0,,5.2,,,
197,San Marino,Europe,43.766666666666666,12.416666666666666,2.4,2064000000,59000,,,8.1,,,
198,Sao Tome And Principe,Africa,1.0,7.0,4.9,686000000,3200,74.9,30.8,12.2,66.2,,
199,Saudi Arabia,Middle East,25.0,45.0,,1775000000000,54500,94.7,45.9,6.0,,,
200,Senegal,Africa,14.0,-14.0,6.2,54800000000,3500,51.9,40.3,48.0,46.7,2.5,31.1
201,Serbia,Europe,44.0,21.0,3.9,105700000000,15100,98.8,38.7,14.1,8.9,2.2,23.8
202,Seychelles,Africa,-4.583333333333333,55.666666666666664,4.4,2750000000,29300,91.8,46.8,3.0,39.3,4.7,15.4
203,Sierra Leone,Africa,8.5,-11.5,4.6,11550000000,1600,48.1,34.0,15.0,70.2,2.6,33.6
204,Singapore,Southeast Asia,1.3666666666666667,103.8,2.9,528100000000,94100,97.0,45.9,2.2,,1.6,27.5
205,Sint Maarten,Central America and the Caribbean,18.066666666666666,-63.06666666666667,,365800000,66800,,,12.0,,,
206,Slovakia,Europe,48.666666666666664,19.5,4.6,179700000000,33100,,23.7,8.1,12.3,3.3,19.3
207,Slovenia,Europe,46.11666666666667,14.816666666666666,4.9,71230000000,34500,99.7,24.4,6.6,13.9,3.8,20.1
208,Solomon Islands,Oceania,-8.0,159.0,9.9,1330000000,2200,84.1,,,,,
209,Somalia,Africa,10.0,49.0,,20440000000,,,,,,,
210,South Africa,Africa,-29.0,24.0,6.1,767200000000,13600,94.4,62.5,27.5,16.6,1.2,51.3
211,South Georgia And South Sandwich Islands,Antarctic Region,-54.5,-37.0,,,,,,,,,
212,South Sudan,Africa,8.0,30.0,1.0,20010000000,1600,27.0,46.0,,66.0,,
213,Spain,Europe,40.0,-4.0,4.3,1778000000000,38400,98.3,35.9,17.2,21.1,2.5,24
214,Spratly Islands,Southeast Asia,8.633333333333333,111.91666666666667,,,,,,,,,
215,Sri Lanka,Asia,7.0,81.0,2.8,275800000000,12900,91.9,39.2,4.4,6.7,3.0,32.2
216,Sudan,Africa,15.0,30.0,2.2,177400000000,4300,75.9,,19.6,46.5,2.7,26.7
217,Suriname,South America,4.0,-56.0,,8688000000,14900,95.6,,8.9,70.0,,
218,Svalbard,Arctic Region,78.0,20.0,,,,,,,,,
219,Sweden,Europe,62.0,15.0,7.6,518000000000,51200,,24.9,6.7,15.0,3.4,24
220,Switzerland,Europe,47.0,8.0,5.1,523100000000,62100,,29.5,3.2,6.6,7.5,19
221,Syria,Middle East,35.0,38.0,5.1,50280000000,2900,86.4,,50.0,82.5,,
222,Taiwan,Southeast Asia,23.5,121.0,,1189000000000,50500,98.5,33.6,3.8,1.5,6.4,40.3
223,Tajikistan,Asia,39.0,71.0,5.2,28430000000,3200,99.8,32.6,2.4,31.5,,
224,Tanzania,Africa,-6.0,35.0,3.5,162500000000,3200,77.9,37.6,10.3,22.8,2.8,29.6
225,Thailand,Southeast Asia,15.0,100.0,4.1,1236000000000,17900,92.9,44.5,0.7,7.2,2.8,31.5
